id,degree,title,degreetitle,level
3645,BSc/BS,Computer Science,BSc/BS Computer Science,6
3646,MSc/MS,Computer Science,MSc/MS Computer Science,7
3646,BSc/BS,Computer Science,BSc/BS Computer Science,6
3647,BSc/BS,Computer Information Systems,BSc/BS Computer Information Systems,6
3648,MSc/MS,Computer Science,MSc/MS Computer Science,7
3649,BSc/BS,Computer Science,BSc/BS Computer Science,6
3650,BSc/BS,Computer Science,BSc/BS Computer Science,6
3651,BSc/BS,Computer Science,BSc/BS Computer Science,6
3652,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3653,MSc/MS,Computer Science,MSc/MS Computer Science,7
3654,BSc/BS,Computer Science,BSc/BS Computer Science,6
3655,BCA,/,BCA /,6
3656,BSc/BS,Computer Science,BSc/BS Computer Science,6
3657,BSc/BS,Computer Science,BSc/BS Computer Science,6
3658,BSc/BS,Computing,BSc/BS Computing,6
3659,BSc/BS,Computer Science,BSc/BS Computer Science,6
3660,BSc/BS,Mechanical Engineering,BSc/BS Mechanical Engineering,6
3661,MSc/MS,Computer Science,MSc/MS Computer Science,7
3662,BSc/BS,Mathematics,BSc/BS Mathematics,6
3663,BSc/BS,Computer Science,BSc/BS Computer Science,6
3664,MCA,/,MCA /,7
3665,BSc/BS,Computer Science,BSc/BS Computer Science,6
3666,MSc/MS,Computer Science,MSc/MS Computer Science,7
3667,BSc/BS,Computer Science,BSc/BS Computer Science,6
3668,BSc/BS,Computer Science,BSc/BS Computer Science,6
3669,BSc/BS,Civil Engineering,BSc/BS Civil Engineering,6
